ticker_yf,region,currency
ITUB,US,USD
WDS,US,USD
BRFS,US,USD
BIDU,US,USD
IRM,US,USD
INVH,US,USD
EXR,US,USD
ARE,US,USD
HST,US,USD
COLD,US,USD
GLPI,US,USD
SBA,US,USD
STAG,US,USD
KIM,US,USD
GTLB,US,USD
BILL,US,USD
ZI,US,USD
BRZE,US,USD
PCTY,US,USD
PAYC,US,USD
CIEN,US,USD
NCNO,US,USD
ALTR,US,USD
AMBA,US,USD
# ========== Batch 2 additions (Feb 2026) ==========

# US Large Cap Tech
IBM,US,USD
CSCO,US,USD
ACN,US,USD
ADSK,US,USD
SNPS,US,USD
ANSS,US,USD
NTAP,US,USD
PSTG,US,USD
ESTC,US,USD
DOMO,US,USD

# US Financials / Exchanges
FIS,US,USD
FISV,US,USD
GPN,US,USD
NDAQ,US,USD
CBOE,US,USD
WEX,US,USD
LPLA,US,USD
RJF,US,USD
SSNC,US,USD
SEIC,US,USD

# US Healthcare / MedTech
MDT,US,USD
ABT,US,USD
BAX,US,USD
BDX,US,USD
HOLX,US,USD
PODD,US,USD
MMSI,US,USD
NVCR,US,USD
ATRC,US,USD
INVA,US,USD

# US Pharma / Biotech
RPRX,US,USD
JAZZ,US,USD
UTHR,US,USD
LEGN,US,USD
ARWR,US,USD
IONS,US,USD
FOLD,US,USD
IMVT,US,USD
ACVA,US,USD
PTGX,US,USD

# US Industrials / Automation
ROP,US,USD
TRMB,US,USD
KEYS,US,USD
FTV,US,USD
AME,US,USD
LFUS,US,USD
ITRI,US,USD
NOVT,US,USD
FELE,US,USD
XPEL,US,USD

# US Energy Transition / Clean
NEP,US,USD
BEP,US,USD
BEPC,US,USD
HASI,US,USD
SHLS,US,USD
SEDG,US,USD
NOVA,US,USD
FTCI,US,USD
STEM,US,USD

# US Consumer Staples / Food
GIS,US,USD
K,US,USD
CPB,US,USD
MKC,US,USD
SJM,US,USD
MDLZ,US,USD
HSY,US,USD
CAG,US,USD
CHD,US,USD
HRL,US,USD

# UK Mid / Small Caps
BBOX.L,UK,GBP
LAND.L,UK,GBP
SGRO.L,UK,GBP
BLND.L,UK,GBP
NXT.L,UK,GBP
SBRY.L,UK,GBP
OCDO.L,UK,GBP
AHT.L,UK,GBP
CATT.L,UK,GBP
WISE.L,UK,GBP

# European Mid Caps
IMCD.AS,EUROPE,EUR
BESI.AS,EUROPE,EUR
COLO-B.CO,EUROPE,DKK
GMAB.CO,EUROPE,DKK
EVO.ST,EUROPE,SEK
SINCH.ST,EUROPE,SEK
ERF,US,USD
TKWY.AS,EUROPE,EUR
DSFIR.AS,EUROPE,EUR
ASRNL.AS,EUROPE,EUR

# US REITs / Property
ELS,US,USD
UDR,US,USD
CPT,US,USD
NNN,US,USD
BXP,US,USD
IIPR,US,USD
SAFE,US,USD
UNIT,US,USD
ROIC,US,USD
ALEX,US,USD
TLX,US,USD
CSL.AX,AU,AUD

# New candidates (Feb 2026 — breakout scan)
PCVX,US,USD
MTH,US,USD
HIFS,US,USD

# ETF additions (Feb 2026)
XLI,ETF,USD
XLY,ETF,USD
XLP,ETF,USD
XLU,ETF,USD
XLB,ETF,USD
XLRE,ETF,USD
VEA,ETF,USD
EEM,ETF,USD
EFA,ETF,USD
VGK,ETF,USD
QQQ,ETF,USD
IWM,ETF,USD
VUG,ETF,USD
VTV,ETF,USD
GLD,ETF,USD
VNQ,ETF,USD

# High-risk additions (Feb 2026)
ALAB,US,USD
AI,US,USD
GFS,US,USD
AG,US,USD
PAAS,US,USD
CLF,US,USD
AA,US,USD
SRPT,US,USD
CVNA,US,USD
ROKU,US,USD
FAST,US,USD
GWW,US,USD
ITW,US,USD
DOV,US,USD
RSG,US,USD
CNI,US,USD
CP,US,USD
CSX,US,USD
NSC,US,USD
WAB,US,USD
TMUS,US,USD
VZ,US,USD
T,US,USD
ECL,US,USD
SHW,US,USD
BHP,US,USD
TECK,US,USD
NEM,US,USD
AEM,US,USD
WPM,US,USD
STLD,US,USD
ORLY,US,USD
AZO,US,USD
ULTA,US,USD
FRG,US,USD
DPZ,US,USD
YUM,US,USD
MKL,US,USD
FICO,US,USD
LOW,US,USD
TJX,US,USD
WHR,US,USD
HPQ,US,USD
CRCL,US,USD
FIGR,US,USD
ARIS,US,USD
WULF,US,USD
ADMA,US,USD
RDDT,US,USDSE,US,USD
SMH,US,USD
IGF,US,USD
VGT,US,USD
SOXX,US,USD
HUBB,US,USD
VIS,US,USD
ITA,US,USD
GRID,US,USD
ELV,US,USD
SPY,US,USD
IWY,US,USD
RIVN,US,USD
WEIR.L,UK,GBP
REL.L,UK,GBP
SHEL.L,UK,GBP
BP.L,UK,GBP
HSX.L,UK,GBP
PRU.L,UK,GBP
BAE.L,UK,GBP
AAL.L,UK,GBP
RIO.L,UK,GBP
SMT.L,UK,GBP
INF.L,UK,GBP
