ticker_yf,cluster
AZO,Consumer_Discretionary
EOG,Energy
PXD,Energy
OXY,Energy
MPC,Energy
PSX,Energy
VLO,Energy
APD,Materials
ECL,Materials
SHW,Materials
PPG,Materials
DD,Materials
DOW,Materials
AMT,Real_Estate
CCI,Real_Estate
EQIX,Real_Estate
DLR,Real_Estate
O,Real_Estate
SPG,Real_Estate
SO,Utilities
DUK,Utilities
AEP,Utilities
XEL,Utilities
ED,Utilities
RR.L,Industrials
RKT.L,Consumer_Staples
IMB.L,Consumer_Staples
BATS.L,Consumer_Staples
DCC.L,Industrials
ANTO.L,Materials
AAL.L,Materials
GLEN.L,Materials
MNDI.L,Materials
PSON.L,Industrials
SDR.L,Financials
III.L,Technology
LVMH.PA,Consumer_Discretionary
AIR.PA,Industrials
BNP.PA,Financials
SAN.PA,Financials
CS.PA,Industrials
ENEL.MI,Utilities
ISP.MI,Financials
IBE.MC,Utilities
ITX.MC,Consumer_Discretionary
ABNB,Consumer_Discretionary
BKNG,Consumer_Discretionary
CEG,Utilities
GEV,Industrials
MELI,Technology
NU,Financials
RACE,Consumer_Discretionary
UBER,Technology
VST,Utilities
ADI,Semiconductors
AIAI,Technology
AXON,Defense_Aerospace
BTEE,Technology
CAVA,Consumer_Discretionary
CELH,Consumer_Staples
DAL,Industrials
DECK,Consumer_Discretionary
DGE,Consumer_Staples
DVN,Energy
EW,Healthcare
GOLD,Materials
HLT,Consumer_Discretionary
IGLT.L,Bonds
INRG,Energy
LHX,Defense_Aerospace
LRCX,Semiconductors
LYV,Consumer_Discretionary
MAR,Consumer_Discretionary
MKTX,Financials
NOVN,Pharma_Biotech
NXPI,Semiconductors
ONON,Consumer_Discretionary
PLD,Real_Estate
REL,Financials
RH,Consumer_Discretionary
SCCO,Materials
TLX,Pharma_Biotech
CSL.AX,Pharma_Biotech
SH,Inverse_ETF
SIE,Industrials
SPXS,Inverse_ETF
SQQQ,Inverse_ETF
SSLN,Commodities
SYK,Healthcare
TLT,Bonds
TT,Industrials
TTD,Technology
TXN,Semiconductors
ULVR,Consumer_Staples
URI,Industrials
VUSA,Index_ETF
VXX,Volatility
WELL,Real_Estate
WFC,Financials
WING,Consumer_Discretionary
XLE,Energy
XLF,Financials
XLK,Technology
XLV,Healthcare
XYZ,Financials
ALV.DE,Insurance
AZN.L,Pharma_Biotech
CNDX.L,ETF_Broad_Market
EIMI.L,ETF_Emerging_Markets
GSK.L,Pharma_Biotech
HSBA.L,Financials
IWMO.L,ETF_Factor
MC.PA,Consumer_Discretionary
NG.L,Utilities
OR.PA,Consumer_Goods
RBOT.L,ETF_Thematic
ROG.SW,Pharma_Biotech
SAP.DE,Technology
SHEL.L,Energy
SSE.L,Utilities
SU.PA,Industrials
TTE.PA,Energy
WSML.L,ETF_Small_Cap

# Missing ETF_core tickers (Feb 2026)
MTUM,ETF_Factor
IIND.L,ETF_Thematic
XDWD.L,ETF_Broad_Market
HMWO.L,ETF_Broad_Market

# Missing stock_core_200 tickers (Feb 2026)
ARM,Semiconductors
BX,Financials
KKR,Financials
IBKR,Financials
HWM,Industrials
DELL,Technology
COIN,Crypto
TSCO.L,Retail
FERG.L,Industrials
ABF.L,Consumer_Staples

# Missing stock_high_risk tickers (Feb 2026)
RGTI,Quantum_Computing
QUBT,Quantum_Computing
SMTC,Semiconductors
RDW,Defense_Aerospace
NVAX,Pharma_Biotech
EDIT,Pharma_Biotech
RIOT,Crypto
CLSK,Crypto
PLUG,Energy_Storage
CHPT,Electric_Vehicles
BLNK,Electric_Vehicles

# Feb 2026 universe additions
MPWR,Semiconductors
SWKS,Semiconductors
WOLF,Semiconductors
ACLS,Semiconductors
FORM,Semiconductors
ALGM,Semiconductors
SLAB,Semiconductors
CEVA,Semiconductors
HPE,Technology
AFL,Insurance
ALL,Insurance
HIG,Insurance
CINF,Insurance
EG,Insurance
RNR,Insurance
RYAN,Insurance
ERIE,Insurance
PFE,Pharma_Biotech
BIIB,Pharma_Biotech
ALNY,Pharma_Biotech
INCY,Pharma_Biotech
EXEL,Pharma_Biotech
ACAD,Pharma_Biotech
ROIV,Pharma_Biotech
PRCT,Healthcare
PTCT,Pharma_Biotech
BWXT,Defense_Aerospace
DRS,Defense_Aerospace
CACI,Defense_Aerospace
SAIC,Defense_Aerospace
TDY,Defense_Aerospace
HEI,Defense_Aerospace
ESAB,Industrials
GTLS,Industrials
IDEX,Industrials
FANG,Energy
HAL,Energy
BKR,Energy
KMI,Energy
WMB,Energy
LNG,Energy
TRGP,Energy
CTRA,Energy
PR,Energy
FIVE,Consumer_Discretionary
WSM,Consumer_Discretionary
CHWY,Consumer_Discretionary
YETI,Consumer_Discretionary
BROS,Consumer_Discretionary
TSCO,Retail
PTON,Consumer_Discretionary
WYNN,Entertainment
JET2.L,Travel_Leisure
HIK.L,Pharma_Biotech
ITV.L,Media
MKS.L,Retail
AUTO.L,Technology
DPLM.L,Industrials
WPP.L,Media
DBK.DE,Financials
DSV.CO,Industrials
NESTE.HE,Energy
IFX.DE,Semiconductors
STM,Semiconductors
KER.PA,Consumer_Goods
HLAG.DE,Industrials
UCG.MI,Financials
AD.AS,Consumer_Staples
GRAB,Technology
SEA,Technology
PDD,China_Tech
JD,China_Tech
LI,Electric_Vehicles
VALE,Materials
ITUB,Financials
WDS,Energy
BRFS,Consumer_Staples
BIDU,China_Tech
IRM,REITs
INVH,REITs
EXR,REITs
ARE,REITs
HST,REITs
COLD,REITs
GLPI,REITs
SBA,REITs
STAG,REITs
KIM,REITs
GTLB,Technology
BILL,Technology
ZI,Technology
BRZE,Technology
PCTY,Technology
PAYC,Technology
CIEN,Technology
NCNO,Technology
ALTR,Technology
AMBA,Semiconductors
# ========== Batch 2 additions (Feb 2026) ==========

# Large Cap US Tech
IBM,Technology
CSCO,Technology
ACN,Technology
ADSK,Technology
SNPS,Technology
ANSS,Technology
NTAP,Technology
PSTG,Technology
ESTC,Technology
DOMO,Technology

# Financials / Exchanges
FIS,Financials
FISV,Financials
GPN,Financials
NDAQ,Financials
CBOE,Financials
WEX,Financials
LPLA,Financials
RJF,Financials
SSNC,Financials
SEIC,Financials

# Healthcare / MedTech
MDT,Healthcare
ABT,Healthcare
BAX,Healthcare
BDX,Healthcare
HOLX,Healthcare
PODD,Healthcare
MMSI,Healthcare
NVCR,Healthcare
ATRC,Healthcare
INVA,Healthcare

# Pharma / Biotech
RPRX,Pharma_Biotech
JAZZ,Pharma_Biotech
UTHR,Pharma_Biotech
LEGN,Pharma_Biotech
ARWR,Pharma_Biotech
IONS,Pharma_Biotech
FOLD,Pharma_Biotech
IMVT,Pharma_Biotech
ACVA,Pharma_Biotech
PTGX,Pharma_Biotech

# Industrials / Automation
ROP,Industrials
TRMB,Industrials
KEYS,Industrials
FTV,Industrials
AME,Industrials
LFUS,Industrials
ITRI,Industrials
NOVT,Industrials
FELE,Industrials
XPEL,Industrials

# Energy Transition / Clean
NEP,Energy_Clean
BEP,Energy_Clean
BEPC,Energy_Clean
HASI,Energy_Clean
SHLS,Energy_Clean
SEDG,Energy_Clean
NOVA,Energy_Clean
FTCI,Energy_Clean
STEM,Energy_Clean

# Consumer Staples / Food
GIS,Consumer_Staples
K,Consumer_Staples
CPB,Consumer_Staples
MKC,Consumer_Staples
SJM,Consumer_Staples
MDLZ,Consumer_Staples
HSY,Consumer_Staples
CAG,Consumer_Staples
CHD,Consumer_Staples
HRL,Consumer_Staples

# UK Mid / Small Caps
BBOX.L,REITs
LAND.L,REITs
SGRO.L,REITs
BLND.L,REITs
NXT.L,Retail
SBRY.L,Consumer_Staples
OCDO.L,Technology
AHT.L,Industrials
CATT.L,Industrials
WISE.L,Financials

# European Mid Caps
IMCD.AS,Industrials
BESI.AS,Semiconductors
COLO-B.CO,Consumer_Staples
GMAB.CO,Pharma_Biotech
EVO.ST,Technology
SINCH.ST,Technology
ERF,Energy
TKWY.AS,Technology
DSFIR.AS,Industrials
ASRNL.AS,Insurance

# REITs / Property
ELS,REITs
UDR,REITs
CPT,REITs
NNN,REITs
BXP,REITs
IIPR,REITs
SAFE,REITs
UNIT,REITs
ROIC,REITs
ALEX,REITs

# New candidates (Feb 2026 — breakout scan)
PCVX,Pharma_Biotech
MTH,Consumer_Discretionary
HIFS,Financials

# ETF additions (Feb 2026)
XLI,ETF_Sector
XLY,ETF_Sector
XLP,ETF_Sector
XLU,ETF_Sector
XLB,ETF_Sector
XLRE,ETF_Sector
VEA,ETF_Broad_Market
EEM,ETF_Emerging_Markets
EFA,ETF_Broad_Market
VGK,ETF_Broad_Market
QQQ,ETF_Broad_Market
IWM,ETF_Small_Cap
VUG,ETF_Factor
VTV,ETF_Factor
GLD,Commodities
VNQ,ETF_REIT

# High-risk additions (Feb 2026)
ALAB,Semiconductors
AI,AI_Robotics
GFS,Semiconductors
AG,Materials
PAAS,Materials
CLF,Materials
AA,Materials
SRPT,Pharma_Biotech
CVNA,Consumer_Discretionary
ROKU,Technology

# Industrial compounders, rails, telco, chemicals, miners, retail, restaurants (Feb 2026)
CTAS,Industrials
GWW,Industrials
DOV,Industrials
RSG,Industrials
CNI,Industrials
CP,Industrials
CSX,Industrials
NSC,Industrials
WAB,Industrials
VZ,Telecom
T,Telecom
BHP,Materials
TECK,Materials
NEM,Materials
AEM,Materials
WPM,Materials
STLD,Materials
DPZ,Consumer_Discretionary
ULTA,Consumer_Discretionary
FRG,Consumer_Discretionary
MKL,Insurance
FICO,Technology
LOW,Retail
TJX,Consumer_Discretionary
WHR,Consumer_Discretionary
HPQ,Technology
CRCL,Fintech
FIGR,Fintech
ARIS,Materials
WULF,Crypto
ADMA,Healthcare
HUBB,Industrials
ELV,Pharma_Biotech
WEIR.L,Industrials
REL.L,Technology
SHEL.L,Energy
BP.L,Energy
HSX.L,Financials
PRU.L,Financials
BAE.L,Industrials
AAL.L,Materials
RIO.L,Materials
SMT.L,Technology
INF.L,Technology
